pair_id,word_one,word_two,category,embedding_similarity,string_similarity,llm_justification,definition_1,context_1,definition_2,context_2,notes_for_reviewer
AL-0001,GKE,Google Kubernetes Engine,Kubernetes Service,0.97,0.21,GKE is the standard acronym for Google Kubernetes Engine in GCP docs and UI.,A managed Kubernetes service on Google Cloud (abbrev.).,Deploy workloads to a GKE cluster with node pools and autoscaling enabled.,Google's managed Kubernetes offering providing control plane management and integrations.,Google Kubernetes Engine provides managed clusters with automatic upgrades and logging.,Alias YES; preference likely Unified 'Google Kubernetes Engine (GKE)'.
AL-0002,AKS,Azure Kubernetes Service,Kubernetes Service,0.96,0.23,AKS is the official Azure abbreviation for Azure Kubernetes Service.,Acronym used for Azure Kubernetes Service.,AKS supports private clusters and Azure CNI networking.,Managed Kubernetes service by Microsoft Azure.,Azure Kubernetes Service manages the control plane and integrates with Azure RBAC.,Alias YES; Unified recommended.
AL-0003,Cloud Storage,Google Cloud Storage (GCS),Object Storage,0.92,0.38,Cloud Storage often refers to Google Cloud Storage in GCP context; add acronym for clarity.,General term used in GCP for its object storage service.,Store artifacts in Cloud Storage buckets with lifecycle rules.,Google's object storage service; commonly abbreviated GCS.,Google Cloud Storage provides bucket-level IAM and uniform access.,Alias MAYBE; could be ambiguous outside GCP context.
AL-0004,Blob Storage,Azure Storage (Blob),Object Storage,0.94,0.26,Azure Blob Storage is the blob service under Azure Storage; terms are used interchangeably in docs.,Azure's object storage service for unstructured data.,Write documents to Blob Storage containers with private endpoints enabled.,Azure Storage account service exposing Blob containers as object storage.,Azure Storage (Blob) supports lifecycle policies and soft delete.,Alias YES; Unified recommended.
AL-0005,Pub/Sub,Azure Service Bus,Messaging,0.61,0.0,Both are messaging services but not aliases; cross-cloud equivalents only.,GCP messaging service (topics/subscriptions).,Publish events to Pub/Sub topics and consume via subscriptions.,Azure messaging broker (queues/topics) with sessions and DLQ.,"Use Service Bus queues for durable, ordered workflows.",False example — should be ALIAS_NO.
AL-0006,Entra ID,Azure Active Directory,Identity,0.95,0.29,Microsoft renamed Azure AD to Microsoft Entra ID; same identity provider.,New product name for Azure Active Directory.,Enable Entra ID authentication for App Service and API endpoints.,Former name for Microsoft cloud identity and access management.,"Azure Active Directory provides users, groups, and app registrations.",Alias YES; Unified like 'Microsoft Entra ID (Azure AD)'.
AL-0007,Cloud Run,Azure Functions,Serverless,0.58,0.0,Related serverless concepts but different products; not aliases.,GCP serverless containers (HTTP/services/jobs).,Deploy the API to Cloud Run with min instances set to 0.,Azure serverless functions triggered by events (HTTP/queue/timer).,Use Azure Functions for event-driven handlers and timers.,False example — should be ALIAS_NO.
AL-0008,VPC,Virtual Network (VNet),Networking,0.78,0.05,Equivalent concepts across clouds but not the same term; treat as NOT alias unless you allow concept-mapping.,GCP Virtual Private Cloud network construct.,Create a VPC with subnets and firewall rules for workloads.,Azure networking construct equivalent to a private network in Azure.,Attach resources to a Virtual Network and control routing via NSGs.,Policy-dependent — alias vs equivalence mapping.
AL-0009,Artifact Registry,Container Registry,Container Images,0.83,0.19,Artifact Registry supersedes Container Registry in GCP; not strict synonyms but often used interchangeably in migration docs.,GCP service for storing container images and artifacts (newer).,Push images to Artifact Registry with repository-level IAM.,Older container image registry service (deprecated in many orgs).,Migrate images from Container Registry to Artifact Registry.,"Tricky: could be alias YES w/ preference, or alias NO if strict."
AL-0010,BigQuery,Azure Synapse Analytics,Data Warehouse,0.64,0.0,Cross-cloud equivalents but not aliases; represent as mapping in a separate table if needed.,GCP managed data warehouse optimized for SQL analytics.,Run federated queries and scheduled transformations in BigQuery.,Azure analytics platform combining warehousing and Spark.,Use Synapse SQL and Spark to build a lakehouse architecture.,False example — should be ALIAS_NO (or UNSURE if policy differs).
